,WAITCLASS,SAMPLE_TIME,DB_TIME
572,Administrative,2016-08-18 21:48:00,0.0
573,Application,2016-08-18 21:48:00,0.0
574,CPU,2016-08-18 21:48:00,0.634
575,Cluster,2016-08-18 21:48:00,0.054
576,Commit,2016-08-18 21:48:00,0.0
577,Concurrency,2016-08-18 21:48:00,0.0
578,Configuration,2016-08-18 21:48:00,0.0
579,Network,2016-08-18 21:48:00,0.002
580,Other,2016-08-18 21:48:00,0.015
581,System I/O,2016-08-18 21:48:00,0.092
582,User I/O,2016-08-18 21:48:00,1.005
583,Administrative,2016-08-18 21:49:00,0.0
584,Application,2016-08-18 21:49:00,0.0
585,CPU,2016-08-18 21:49:00,0.54
586,Cluster,2016-08-18 21:49:00,0.0
587,Commit,2016-08-18 21:49:00,0.0
588,Concurrency,2016-08-18 21:49:00,0.0
589,Configuration,2016-08-18 21:49:00,0.0
590,Network,2016-08-18 21:49:00,0.002
591,Other,2016-08-18 21:49:00,0.016
592,System I/O,2016-08-18 21:49:00,0.002
